position_id,symbol,settled_net_pnl_usdt,gross_price_pnl_usdt,exit_reason,observed_sampled_bid_mfe_pct,final_native_trigger_pct,fast_weak_10s,confirmed,supported_hypothesis,unknown,refuted,assessment
88556a19-5878-4372-9df2-0e6e7a22e433,INJUSDT,-3.25006315,-3.1313,V17_HARD_STOP,0.737064,,,V17 하드스톱이 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
83f4df49-26c5-4e94-8700-f36303f6c0ef,SOPHUSDT,4.54400735,4.66609,V17_TRAILING_STOP,6.004467,,,R5 trailing 단계가 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,RSI>=70 일괄 금지의 수익 반례,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
2f084a77-a0ca-4c1c-b467-e4be50862ec6,IOSTUSDT,-4.35281852,-4.2349611,V17_HARD_STOP,1.198822,,,V17 하드스톱이 실제 청산을 발생시킴,더 빠른 실제 bid/VWAP 관측이 이익 반납을 줄일 가능성,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
8af6af51-bb20-4b8b-ac6b-eaeb50d53a98,AEROUSDT,-3.83775406,-3.71979,V17_HARD_STOP,1.109778,,,V17 하드스톱이 실제 청산을 발생시킴,더 빠른 실제 bid/VWAP 관측이 이익 반납을 줄일 가능성,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
49e3d344-76a2-4994-a344-01aa1b003406,SOPHUSDT,7.27714996,7.400556,V17_TRAILING_STOP,9.452341,,,R5 trailing 단계가 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,RSI>=70 일괄 금지의 수익 반례,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
61cae170-54e9-4453-8e95-cd55127bbd8e,USELESSUSDT,-3.50450402,-3.3863,V17_HARD_STOP,2.118482,,,V17 하드스톱이 실제 청산을 발생시킴,더 빠른 실제 bid/VWAP 관측이 이익 반납을 줄일 가능성,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
a5ab1fa0-1a90-4c8d-b73c-745ae5630c57,AKEUSDT,-4.35661537,-4.238759,V17_HARD_STOP,0.598799,,,V17 하드스톱이 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
b9501639-d5b1-4d4d-8478-d432f8f862ca,FORMUSDT,-5.82143389,-5.70419,V17_HARD_STOP,0,,,V17 하드스톱이 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
9745f184-84e6-4d17-9636-ceb7ee116d3e,BTRUSDT,1.98091738,2.10206,V17_TRAILING_STOP,4.416679,,,R5 trailing 단계가 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,RSI>=70 일괄 금지의 수익 반례,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
b6272135-f9d6-4a91-9ca7-225465429a55,USELESSUSDT,0.69859427,0.81906,V17_TRAILING_STOP,5.033809,,,R5 trailing 단계가 실제 청산을 발생시킴,,근본적인 시장 방향 원인; 당시 수량별 매도 VWAP와 연속 L2; 후보 주문 ACK 전 실현 가능 가격,RSI>=70 일괄 금지의 수익 반례,MECHANISM_CONFIRMED_PREDICTIVE_CAUSE_NOT_CONFIRMED
